director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,Fantasy Romance,the map of tiny perfect things,Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard,Thriller Horror Drama,fear of rain,Katherine Heigl Madison Iseman Israel Broussard Castille Landon Thriller Horror Drama
J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González,Comedy Crime Thriller Drama,i care a lot,Rosamund Pike Peter Dinklage Eiza González J Blakeson Comedy Crime Thriller Drama
Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz,Family Adventure Comedy Fantasy,flora & ulysses,Matilda Lawler Alyson Hannigan Ben Schwartz Lena Khan Family Adventure Comedy Fantasy
Tiller Russell,Jason Clarke,Nick Robinson,Katie Aselton,Crime Thriller,silk road,Jason Clarke Nick Robinson Katie Aselton Tiller Russell Crime Thriller
Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost,Comedy Family Animation,tom & jerry,Chloë Grace Moretz Michael Peña Colin Jost Tim Story Comedy Family Animation
Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund,Music Drama History,the united states vs. billie holiday,Andra Day Trevante Rhodes Garrett Hedlund Lee Daniels Music Drama History
Anthony and Joe Russo,Tom Holland,Ciara Bravo,Jack Reynor,Drama Crime,cherry,Tom Holland Ciara Bravo Jack Reynor Anthony and Joe Russo Drama Crime
Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly,Thriller Crime Drama,crisis,Gary Oldman Armie Hammer Evangeline Lilly Nicholas Jarecki Thriller Crime Drama
R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird,Documentary Music,billie eilish: the world's a little blurry,Billie Eilish Finneas O'Connell Maggie Baird R. J. Cutler Documentary Music
Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman,Horror Thriller Mystery,the vigil,Dave Davis Menashe Lustig Malky Goldman Keith Thomas Horror Thriller Mystery
Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,Comedy Drama Music,moxie,Hadley Robinson Lauren Tsai Patrick Schwarzenegger Amy Poehler Comedy Drama Music
Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler,Comedy,coming 2 america,Eddie Murphy Arsenio Hall Jermaine Fowler Craig Brewer Comedy
Tim Hill,Tom Kenny,Awkwafina,Matt Berry,Family Animation Fantasy Adventure Comedy,the spongebob movie: sponge on the run,Tom Kenny Awkwafina Matt Berry Tim Hill Family Animation Fantasy Adventure Comedy
"Don Hall, Carlos López Estrada",Kelly Marie Tran,Awkwafina,Izaac Wang,Animation Family Fantasy Action Adventure,raya and the last dragon,"Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos López Estrada Animation Family Fantasy Action Adventure"
Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen,Fantasy Science Fiction Adventure,chaos walking,Daisy Ridley Tom Holland Mads Mikkelsen Doug Liman Fantasy Science Fiction Adventure
Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,Action Science Fiction Thriller,boss level,Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Drama,boogie,Taylor Takahashi Taylour Paige Jorge Lendeborg Jr. Eddie Huang Drama
Miguel Arteta,Jennifer Garner,Édgar Ramírez,Jenna Ortega,Family Comedy,yes day,Jennifer Garner Édgar Ramírez Jenna Ortega Miguel Arteta Family Comedy
Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson,Horror Mystery Thriller,long weekend,Finn Wittrock Zoë Chao Casey Wilson Steve Basilone Horror Mystery Thriller
Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,Action Adventure Science Fiction,cosmic sin,Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Action Adventure Science Fiction
Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,Crime Drama Thriller,trust,Victoria Justice Matthew Daddario Katherine McNamara Brian DeCubellis Crime Drama Thriller
Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action Adventure Fantasy,zack snyder's justice league,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy
Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Thriller History Drama,the courier,Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Dominic Cooke Thriller History Drama
Brad Furman,Johnny Depp,Forest Whitaker,unknown,Crime Thriller Drama,city of lies,Johnny Depp Forest Whitaker unknown Brad Furman Crime Thriller Drama
BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,Comedy Romance Science Fiction Thriller,happily,Joel McHale Kerry Bishé Stephen Root BenDavid Grabinski Comedy Romance Science Fiction Thriller
Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Action Thriller,nobody,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Thriller
Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Comedy,bad trip,Eric André Lil Rel Howery Tiffany Haddish Kitao Sakurai Comedy
Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Horror,the seventh day,Guy Pearce Vadhir Derbez Stephen Lang Justin P. Lange Horror
Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,Comedy Romance,senior moment,William Shatner Jean Smart Christopher Lloyd Giorgio Serafini Comedy Romance
Mikey Alfred,Ryder McLaughlin,Vince Vaughn,Miranda Cosgrove,Comedy Drama,north hollywood,Ryder McLaughlin Vince Vaughn Miranda Cosgrove Mikey Alfred Comedy Drama
Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Action Science Fiction Adventure,godzilla vs. kong,Alexander Skarsgård Millie Bobby Brown Rebecca Hall Adam Wingard Action Science Fiction Adventure
Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Drama Western,concrete cowboy,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,Horror Mystery,the unholy,Jeffrey Dean Morgan Katie Aselton William Sadler Evan Spiliotopoulos Horror Mystery
Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,Thriller Mystery,every breath you take,Casey Affleck Sam Claflin Veronica Ferres Vaughn Stein Thriller Mystery
Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,Comedy Drama,shiva baby,Rachel Sennott Molly Gordon Polly Draper Emma Seligman Comedy Drama
Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,Family Drama,the girl who believes in miracles,Mira Sorvino Austyn Johnson Kevin Sorbo Richard Correll Family Drama
Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Drama,the believer,Aidan Bristow Sophie Kargman Susan Wilder Shan Serafin Drama
Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,Horror Thriller,dawn of the beast,Francesca Anderson Adrián Burke Chris Cimperman Bruce Wemple Horror Thriller
Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,Science Fiction Thriller,voyagers,Tye Sheridan Lily-Rose Depp Fionn Whitehead Neil Burger Science Fiction Thriller
Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Action Adventure Comedy Science Fiction,thunder force,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Action Adventure Comedy Science Fiction
Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,Animation Comedy Family,arlo the alligator boy,Michael J. Woodard Mary Lambert Haley Tju Ryan Crego Animation Comedy Family
Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,Drama Romance,monday,Sebastian Stan Denise Gough Yorgos Pirpassopoulos Argyris Papadimitropoulos Drama Romance
Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,Horror Science Fiction Thriller,in the earth,Joel Fry Reece Shearsmith Hayley Squires Ben Wheatley Horror Science Fiction Thriller
Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Science Fiction Drama Thriller Adventure,stowaway,Anna Kendrick Daniel Dae Kim Shamier Anderson Joe Penna Science Fiction Drama Thriller Adventure
Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Action Fantasy Adventure,mortal kombat,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
George Gallo,Ruby Rose,Morgan Freeman,unknown,Action Adventure Thriller,vanquish,Ruby Rose Morgan Freeman unknown George Gallo Action Adventure Thriller
Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,Animation Family Music Fantasy Comedy,together together,Ed Helms Patti Harrison Tig Notaro Nikole Beckwith Animation Family Music Fantasy Comedy
Jeff Rosenberg,William Jackson Harper,Aya Cash,unknown,Romance Comedy,we broke up,William Jackson Harper Aya Cash unknown Jeff Rosenberg Romance Comedy
Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,Horror Science Fiction,the deep ones,Gina La Piana Robert Miano Johann Urb Chad Ferrin Horror Science Fiction
Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Horror,things heard & seen,Amanda Seyfried James Norton Natalia Dyer Shari Springer Berman and Robert Pulcini Horror
Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,Animation Adventure Comedy,the mitchells vs. the machines,Abbi Jacobson Danny McBride Maya Rudolph Mike Rianda Animation Adventure Comedy
Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Adventure Action Thriller War,without remorse,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Adventure Action Thriller War
Nick Stagliano,Anson Mount,Abbie Cornish,Eddie Marsan,Thriller Crime Action,the virtuoso,Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Crime Action
Rodrigo García,Glenn Close,Mila Kunis,Stephen Root,Drama,four good days,Glenn Close Mila Kunis Stephen Root Rodrigo García Drama
William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,Horror Drama Mystery,separation,Rupert Friend Mamie Gummer Violet McGraw William Brent Bell Horror Drama Mystery
Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Horror,the resort,Brock O'Hurn Avery Pascual Michael Vlamis Taylor Chien Horror
Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Action Crime Thriller,wrath of man,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Action Crime Thriller
Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Thriller Horror,monster,Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Thriller Horror
Tran Quoc Bao,Alain Uy,Ron Yuan,Mykel Shannon Jenkins,Action Comedy,the paper tigers,Alain Uy Ron Yuan Mykel Shannon Jenkins Tran Quoc Bao Action Comedy
Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,Comedy Drama,mainstream,Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Comedy Drama
David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man,David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,Comedy Drama,here today,Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime Action,above suspicion,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime Action
Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp,David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
Karl Holt,Karl Holt,Claire Cartwright,David Wayman,Horror Comedy,benny loves you,Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,Crime Drama Mystery Thriller,oxygen,Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Action Crime Horror,army of the dead,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Crime Horror
Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Thriller Action,those who wish me dead,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller Action
Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,Crime Mystery Thriller,the woman in the window,Amy Adams Gary Oldman Anthony Mackie Joe Wright Crime Mystery Thriller
Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,Horror Mystery Thriller,spiral,Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Mystery Thriller
Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,Crime Drama,georgetown,Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,Romance Drama,finding you,Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Romance Drama
Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,Drama Thriller,the killing of two lovers,Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama Thriller
"Mark S. Allen, Dante Yore",John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane,"John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,Comedy Drama,dream horse,Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
Glenn Miller,Vivica A. Fox,Eva Ceja,D. C. Douglas,Horror Action Comedy,aquarium of the dead,Vivica A. Fox Eva Ceja D. C. Douglas Glenn Miller Horror Action Comedy
Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Drama,blast beat,Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place part ii,Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Comedy Crime,cruella,Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime
Natalie Morales,Kuhoo Verma,Victoria Moroles,unknown,Comedy Drama Romance,plan b,Kuhoo Verma Victoria Moroles unknown Natalie Morales Comedy Drama Romance
Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Documentary,changing the game,Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Documentary
"Elaine Bogan, Ennio Torresan",Isabela Merced,Marsai Martin,Mckenna Grace,Animation Adventure Family Western,spirit untamed,"Isabela Merced Marsai Martin Mckenna Grace Elaine Bogan, Ennio Torresan Animation Adventure Family Western"
Michael Chaves,Patrick Wilson,Vera Farmiga,Ruairi O'Connor,Horror Mystery Thriller,the conjuring: the devil made me do it,Patrick Wilson Vera Farmiga Ruairi O'Connor Michael Chaves Horror Mystery Thriller
Nabil Elderkin,Jacob Latimore,Charlie Plummer,Jonathan Majors,Drama Crime,gully,Jacob Latimore Charlie Plummer Jonathan Majors Nabil Elderkin Drama Crime
Christopher MacBride,Dylan O'Brien,Maika Monroe,Hannah Gross,Thriller,flashback,Dylan O'Brien Maika Monroe Hannah Gross Christopher MacBride Thriller
Todd Randall,Milo Gibson,Laurence Fishburne,Glenn Morshower,Drama,under the stadium lights,Milo Gibson Laurence Fishburne Glenn Morshower Todd Randall Drama
Sebastian Siegel,Mena Suvari,Stuart Townsend,Frances Fisher,Drama Comedy Romance,grace and grit,Mena Suvari Stuart Townsend Frances Fisher Sebastian Siegel Drama Comedy Romance
Mark Raso,Gina Rodriguez,Jennifer Jason Leigh,Barry Pepper,Thriller Crime Mystery,awake,Gina Rodriguez Jennifer Jason Leigh Barry Pepper Mark Raso Thriller Crime Mystery
Antoine Fuqua,Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson,Science Fiction Action Thriller,infinite,Mark Wahlberg Chiwetel Ejiofor Sophie Cookson Antoine Fuqua Science Fiction Action Thriller
Will Gluck,James Corden,Rose Byrne,Domhnall Gleeson,Family Comedy Adventure Animation,peter rabbit 2: the runaway,James Corden Rose Byrne Domhnall Gleeson Will Gluck Family Comedy Adventure Animation
Jon M. Chu,Anthony Ramos,Corey Hawkins,Leslie Grace,Drama Romance,in the heights,Anthony Ramos Corey Hawkins Leslie Grace Jon M. Chu Drama Romance
Chris Appelhans,Jimmy Wong,John Cho,Constance Wu,Animation Family Comedy Fantasy,wish dragon,Jimmy Wong John Cho Constance Wu Chris Appelhans Animation Family Comedy Fantasy
Renny Harlin,Pierce Brosnan,Rami Jaber,Hermione Corfield,Action Thriller,the misfits,Pierce Brosnan Rami Jaber Hermione Corfield Renny Harlin Action Thriller
Ty Roberts,Luke Wilson,Vinessa Shaw,Wayne Knight,History Drama Action,12 mighty orphans,Luke Wilson Vinessa Shaw Wayne Knight Ty Roberts History Drama Action
Deon Taylor,Mike Epps,Katt Williams,Bresha Webb,Comedy Horror,the house next door: meet the blacks 2,Mike Epps Katt Williams Bresha Webb Deon Taylor Comedy Horror
Michael Lembeck,Ellen Burstyn,James Caan,Ann-Margret,Romance Comedy,queen bees,Ellen Burstyn James Caan Ann-Margret Michael Lembeck Romance Comedy
"Baron Davis, Carl Reid, Steven V. Vasquez Jr.",David Arquette,Snoop Dogg,Tom Lister Jr.,Comedy,domino: battle of the bones,"David Arquette Snoop Dogg Tom Lister Jr. Baron Davis, Carl Reid, Steven V. Vasquez Jr. Comedy"
Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Salma Hayek,Action Comedy Crime Thriller,hitman's wife's bodyguard,Ryan Reynolds Samuel L. Jackson Salma Hayek Patrick Hughes Action Comedy Crime Thriller
Enrico Casarosa,Jacob Tremblay,Jack Dylan Grazer,Emma Berman,Animation Comedy Fantasy Adventure Family,luca,Jacob Tremblay Jack Dylan Grazer Emma Berman Enrico Casarosa Animation Comedy Fantasy Adventure Family
Paul Weitz,Kevin Hart,Alfre Woodard,Lil Rel Howery,Drama Comedy,fatherhood,Kevin Hart Alfre Woodard Lil Rel Howery Paul Weitz Drama Comedy
Jimmy Giannopoulos,Shiloh Fernandez,Val Kilmer,Ewan McGregor,Crime Thriller,the birthday cake,Shiloh Fernandez Val Kilmer Ewan McGregor Jimmy Giannopoulos Crime Thriller
Mariem Pérez Riera,Rita Moreno,Eva Longoria,George Chakiris,Documentary,rita moreno: just a girl who decided to go for it,Rita Moreno Eva Longoria George Chakiris Mariem Pérez Riera Documentary
Edgar Wright,Ron Mael,Russell Mael,unknown,Documentary Music,the sparks brothers,Ron Mael Russell Mael unknown Edgar Wright Documentary Music
Lisa Immordino Vreeland,Jim Parsons,Zachary Quinto,unknown,Documentary,truman & tennessee: an intimate conversation,Jim Parsons Zachary Quinto unknown Lisa Immordino Vreeland Documentary
Tyler Savage,Christine Ko,Vincent van Horn,Michael Joplin,Thriller Horror,stalker,Christine Ko Vincent van Horn Michael Joplin Tyler Savage Thriller Horror
Jamie Adams,Alia Shawkat,Eiza González,Chanel Cresswell,Comedy Drama Music,love spreads,Alia Shawkat Eiza González Chanel Cresswell Jamie Adams Comedy Drama Music
Nancy Buirski,Gary Duncan,Richard Sobol,unknown,Documentary Crime,a crime on the bayou,Gary Duncan Richard Sobol unknown Nancy Buirski Documentary Crime
Kimmy Gatewood,Iliza Shlesinger,Ryan Hansen,Margaret Cho,Comedy Romance,good on paper,Iliza Shlesinger Ryan Hansen Margaret Cho Kimmy Gatewood Comedy Romance
Justin Lin,Vin Diesel,John Cena,Michelle Rodriguez,Action Adventure Crime,f9,Vin Diesel John Cena Michelle Rodriguez Justin Lin Action Adventure Crime
Jonathan Hensleigh,Liam Neeson,Benjamin Walker,Amber Midthunder,Action Thriller,the ice road,Liam Neeson Benjamin Walker Amber Midthunder Jonathan Hensleigh Action Thriller
Josh Ruben,Sam Richardson,Milana Vayntrub,George Basil,Horror Comedy Fantasy,werewolves within,Sam Richardson Milana Vayntrub George Basil Josh Ruben Horror Comedy Fantasy
John Lee,Ilana Glazer,Justin Theroux,Sophia Bush,Horror Mystery Thriller,false positive,Ilana Glazer Justin Theroux Sophia Bush John Lee Horror Mystery Thriller
Eytan Rockaway,Harvey Keitel,Sam Worthington,AnnaSophia Robb,Crime Drama Thriller,lansky,Harvey Keitel Sam Worthington AnnaSophia Robb Eytan Rockaway Crime Drama Thriller
Heidi Ewing,Armando Espitia,Christian Vázquez,Michelle Rodríguez,Drama,i carry you with me,Armando Espitia Christian Vázquez Michelle Rodríguez Heidi Ewing Drama
Vanessa Roth,Mary J. Blige,Taraji P. Henson,Alicia Keys,Documentary Music,mary j. blige's my life,Mary J. Blige Taraji P. Henson Alicia Keys Vanessa Roth Documentary Music
Drew Xanthopoulos,Michelle Fournet,Ellen Garland,unknown,Action Comedy Drama,fathom,Michelle Fournet Ellen Garland unknown Drew Xanthopoulos Action Comedy Drama
Isaiah Smallman,Isaiah Smallman (director); Johnny Ray Gill,Kate Cobb,Vicky Jeudy,Comedy,rollers,Isaiah Smallman (director); Johnny Ray Gill Kate Cobb Vicky Jeudy Isaiah Smallman Comedy
Matt Thompson,Channing Tatum,Jason Mantzoukas,Olivia Munn,Animation Action Comedy,america: the motion picture,Channing Tatum Jason Mantzoukas Olivia Munn Matt Thompson Animation Action Comedy
Janicza Bravo,Taylour Paige,Riley Keough,Nicholas Braun,Comedy Crime,zola,Taylour Paige Riley Keough Nicholas Braun Janicza Bravo Comedy Crime
Steven Soderbergh,Don Cheadle,Benicio del Toro,David Harbour,Crime Drama Mystery,no sudden move,Don Cheadle Benicio del Toro David Harbour Steven Soderbergh Crime Drama Mystery
Chris McKay,Chris Pratt,Yvonne Strahovski,J. K. Simmons,Action Science Fiction Adventure,the tomorrow war,Chris Pratt Yvonne Strahovski J. K. Simmons Chris McKay Action Science Fiction Adventure
Tom McGrath,Alec Baldwin,James Marsden,Amy Sedaris,Animation Comedy Adventure Family,the boss baby: family business,Alec Baldwin James Marsden Amy Sedaris Tom McGrath Animation Comedy Adventure Family
Everardo Gout,Ana de la Reguera,Tenoch Huerta,Josh Lucas,Horror Action Thriller,the forever purge,Ana de la Reguera Tenoch Huerta Josh Lucas Everardo Gout Horror Action Thriller
Leigh Janiak,Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.,Mystery Horror,fear street part one: 1994,Kiana Madeira Olivia Scott Welch Benjamin Flores Jr. Leigh Janiak Mystery Horror
Questlove,Questlove (director); Stevie Wonder,Nina Simone,Sly and the Family Stone,Music Documentary History,summer of soul,Questlove (director); Stevie Wonder Nina Simone Sly and the Family Stone Questlove Music Documentary History
S.K. Dale,Megan Fox,Eoin Macken,Callan Mulvey,Horror Thriller,till death,Megan Fox Eoin Macken Callan Mulvey S.K. Dale Horror Thriller
Craig Moss,Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler,Science Fiction Thriller Horror,let us in,Mackenzie Moss Sadie Stanley Mackenzie Ziegler Craig Moss Science Fiction Thriller Horror
Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,Action Adventure Science Fiction,black widow,Scarlett Johansson Florence Pugh David Harbour Cate Shortland Action Adventure Science Fiction
Leigh Janiak,Sadie Sink,Emily Rudd,Ryan Simpkins,Mystery Horror,fear street part two: 1978,Sadie Sink Emily Rudd Ryan Simpkins Leigh Janiak Mystery Horror
Carlos López Estrada,Tyris Winter,Marquesha Babers,Maia Mayor,Drama Romance,summertime,Tyris Winter Marquesha Babers Maia Mayor Carlos López Estrada Drama Romance
Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,Action Crime Thriller,gunpowder milkshake,Karen Gillan Lena Headey Carla Gugino Navot Papushado Action Crime Thriller
Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis,Family Animation Comedy Science Fiction,space jam: a new legacy,LeBron James Don Cheadle Khris Davis Malcolm D. Lee Family Animation Comedy Science Fiction
Adam Robitel,Taylor Russell,Logan Miller,Indya Moore,Horror Thriller Mystery,escape room: tournament of champions,Taylor Russell Logan Miller Indya Moore Adam Robitel Horror Thriller Mystery
Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,Mystery Horror,fear street part three: 1666,Kiana Madeira Ashley Zukerman Gillian Jacobs Leigh Janiak Mystery Horror
Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,Action Comedy Romance,die in a gunfight,Alexandra Daddario Diego Boneta Justin Chatwin Colin Schiffli Action Comedy Romance
Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin,Drama Thriller,pig,Nicolas Cage Alex Wolff Adam Arkin Michael Sarnoski Drama Thriller
Mike Burns,Bruce Willis,Jaime King,Lala Kent,Action Thriller Crime,out of death,Bruce Willis Jaime King Lala Kent Mike Burns Action Thriller Crime
Morgan Neville,Anthony Bourdain,unknown,unknown,Documentary,roadrunner: a film about anthony bourdain,Anthony Bourdain unknown unknown Morgan Neville Documentary
"Daryl Wein, Zoe Lister-Jones",Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,Science Fiction Thriller Mystery Action Adventure,how it ends,"Zoe Lister-Jones Cailee Spaeny Olivia Wilde Daryl Wein, Zoe Lister-Jones Science Fiction Thriller Mystery Action Adventure"
"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",Emile Hirsch,Lexi Medrano,Charlie Saxton,Animation Fantasy Family Action Adventure,trollhunters: rise of the titans,"Emile Hirsch Lexi Medrano Charlie Saxton Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco Animation Fantasy Family Action Adventure"
Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó,Thriller Crime Mystery Drama,snake eyes,Henry Golding Andrew Koji Úrsula Corberó Robert Schwentke Thriller Crime Mystery Drama
M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell,Thriller Mystery Horror,old,Gael García Bernal Vicky Krieps Rufus Sewell M. Night Shyamalan Thriller Mystery Horror
Reinaldo Marcus Green,Mark Wahlberg,Reid Miller,Connie Britton,Drama,joe bell,Mark Wahlberg Reid Miller Connie Britton Reinaldo Marcus Green Drama
Tanya Wexler,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale,Bobby Cannavale,Laverne Cox,Action Thriller,jolt,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale Bobby Cannavale Laverne Cox Tanya Wexler Action Thriller
Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch,Crime Mystery Thriller Action,midnight in the switchgrass,Megan Fox Bruce Willis Emile Hirsch Randall Emmett Crime Mystery Thriller Action
Peter Sattler,Ben Platt,Lola Kirke,Yvette Nicole Brown,Drama,broken diamonds,Ben Platt Lola Kirke Yvette Nicole Brown Peter Sattler Drama
"Leo Scott, Ting Poo",Leo Scott,Ting Poo (directors); Val Kilmer,unknown,Documentary,val,"Leo Scott Ting Poo (directors); Val Kilmer unknown Leo Scott, Ting Poo Documentary"
Jamila Wignot,Jamila Wignot (director),unknown,unknown,Documentary,ailey,Jamila Wignot (director) unknown unknown Jamila Wignot Documentary
