director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gerard Johnstone,Allison Williams,Violet McGraw,Amie Donald,Science Fiction Horror,m3gan,Allison Williams Violet McGraw Amie Donald Gerard Johnstone Science Fiction Horror
Brett Donowho,Nicolas Cage,Ryan Kiera Armstrong,unknown,Western Drama,the old way,Nicolas Cage Ryan Kiera Armstrong unknown Brett Donowho Western Drama
Nathan Frankowski,Alice Orr-Ewing,Joe Doyle,Eveline Hall,Horror Fantasy Science Fiction Thriller,the devil conspiracy,Alice Orr-Ewing Joe Doyle Eveline Hall Nathan Frankowski Horror Fantasy Science Fiction Thriller
Jean-François Richet,Gerard Butler,Mike Colter,Yoson An,Action,plane,Gerard Butler Mike Colter Yoson An Jean-François Richet Action
Calmatic,Tosin Cole,Jacob Latimore,Karen Obilom,Comedy,house party,Tosin Cole Jacob Latimore Karen Obilom Calmatic Comedy
John Hyams,Gideon Adlon,Bethlehem Million,Marc Menchaca,Horror Thriller Mystery,sick,Gideon Adlon Bethlehem Million Marc Menchaca John Hyams Horror Thriller Mystery
Sarah Adina Smith,Anna Konkle,Jermaine Fowler,Jillian Bell,Drama Crime,the drop,Anna Konkle Jermaine Fowler Jillian Bell Sarah Adina Smith Drama Crime
Stephen Herek,Rob Lowe,Johnny Berchtold,Kimberly Williams-Paisley,Family Adventure Drama,dog gone,Rob Lowe Johnny Berchtold Kimberly Williams-Paisley Stephen Herek Family Adventure Drama
Roxanne Benjamin,Alisha Wainwright,Zach Gilford,Amanda Crew,Horror Mystery Thriller,there's something wrong with the children,Alisha Wainwright Zach Gilford Amanda Crew Roxanne Benjamin Horror Mystery Thriller
"Nick Johnson, Will Merrick (directors/screenplay); Storm Reid, Joaquim de Almeida, Ken Leung, Amy Landecker, Daniel Henney, Nia Long",Storm Reid,Joaquim de Almeida,Ken Leung,Thriller Mystery Drama,missing,"Storm Reid Joaquim de Almeida Ken Leung Nick Johnson, Will Merrick (directors/screenplay); Storm Reid, Joaquim de Almeida, Ken Leung, Amy Landecker, Daniel Henney, Nia Long Thriller Mystery Drama"
Florian Zeller,Hugh Jackman,Laura Dern,Vanessa Kirby,Drama,the son,Hugh Jackman Laura Dern Vanessa Kirby Florian Zeller Drama
Jesse Eisenberg,Julianne Moore,Finn Wolfhard,Alisha Boe,Drama Comedy,when you finish saving the world,Julianne Moore Finn Wolfhard Alisha Boe Jesse Eisenberg Drama Comedy
Edward John Drake,Bruce Willis,unknown,unknown,Action Crime Thriller,detective knight: independence,Bruce Willis unknown unknown Edward John Drake Action Crime Thriller
