director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Simon Kinberg,Jessica Chastain,Penélope Cruz,Fan Bingbing,Action Thriller,the 355,Jessica Chastain Penélope Cruz Fan Bingbing Simon Kinberg Action Thriller
Patricia Harris Seeley,Autumn Reeser,Danny Trejo,Antonio Cupo,Family Animation Fantasy Horror,the legend of la llorona,Autumn Reeser Danny Trejo Antonio Cupo Patricia Harris Seeley Family Animation Fantasy Horror
Asif Akbar,Mickey Rourke,Michael Jai White,unknown,Action Crime Thriller,the commando,Mickey Rourke Michael Jai White unknown Asif Akbar Action Crime Thriller
Edward John Drake,Timothy V. Murphy,Bruce Willis,Rob Gough,Action Adventure Thriller,american siege,Timothy V. Murphy Bruce Willis Rob Gough Edward John Drake Action Adventure Thriller
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,Crime Horror Mystery,scream,"Melissa Barrera Mason Gooding Jenna Ortega Matt Bettinelli-Olpin, Tyler Gillett Crime Horror Mystery"
"Derek Drymon, Jennifer Kluska",Andy Samberg,Selena Gomez,Kathryn Hahn,Animation Comedy Family Adventure Fantasy,hotel transylvania: transformania,"Andy Samberg Selena Gomez Kathryn Hahn Derek Drymon, Jennifer Kluska Animation Comedy Family Adventure Fantasy"
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller Horror Crime Mystery,shattered,Cameron Monaghan Frank Grillo Lilly Krug Luis Prieto Thriller Horror Crime Mystery
Rick Jacobson,Laura Marano,Mena Massoud,unknown,Romance Comedy,the royal treatment,Laura Marano Mena Massoud unknown Rick Jacobson Romance Comedy
D. J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Romance Drama Western,redeeming love,Abigail Cowen Tom Lewis Logan Marshall-Green D. J. Caruso Romance Drama Western
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Fantasy Adventure Family,the king's daughter,Pierce Brosnan Kaya Scodelario Benjamin Walker Sean McNamara Fantasy Adventure Family
Ray Giarratana,Christian Convery,Madalen Mills,Katharine McPhee,Action Animation Science Fiction,the tiger rising,Christian Convery Madalen Mills Katharine McPhee Ray Giarratana Action Animation Science Fiction
Justin Lee,Bruce Dern,Billy Zane,Tony Todd,Horror Action,hellblazers,Bruce Dern Billy Zane Tony Todd Justin Lee Horror Action
Megan Park,Jenna Ortega,Maddie Ziegler,Julie Bowen,Drama,the fallout,Jenna Ortega Maddie Ziegler Julie Bowen Megan Park Drama
"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,Family Comedy Drama,home team,"Kevin James Taylor Lautner Rob Schneider Charles Kinnane, Daniel Kinnane Family Comedy Drama"
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,Animation Comedy Adventure Family,the ice age adventures of buck wild,Simon Pegg Utkarsh Ambudkar Justina Machado John C. Donkin Animation Comedy Adventure Family
Paul Solet,Adrien Brody,unknown,unknown,Crime,clean,Adrien Brody unknown unknown Paul Solet Crime
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Comedy Documentary,jackass forever,Johnny Knoxville Steve-O Chris Pontius Jeff Tremaine Comedy Documentary
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,Science Fiction Adventure Action,moonfall,Halle Berry Patrick Wilson John Bradley Roland Emmerich Science Fiction Adventure Action
Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,Action Crime Thriller,last looks,Charlie Hunnam Mel Gibson Morena Baccarin Tim Kirkby Action Crime Thriller
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night,Scout Taylor-Compton Nolan Gerard Funk Jeff Fahey Rich Ragsdale Horror
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Jaime Camil,Crime Thriller Drama,kimi,Zoë Kravitz Rita Wilson Jaime Camil Steven Soderbergh Crime Thriller Drama
D. J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,Thriller Horror Drama,shut in,Rainey Qualley Jake Horowitz Luciana VanDette D. J. Caruso Thriller Horror Drama
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Mystery Crime Thriller,death on the nile,Tom Bateman Annette Bening Kenneth Branagh Kenneth Branagh Mystery Crime Thriller
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,Romance Comedy Music,marry me,Jennifer Lopez Owen Wilson Maluma Kat Coiro Romance Comedy Music
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Action Thriller Drama Adventure,blacklight,Liam Neeson Emmy Raver-Lampman Taylor John Smith Mark Williams Action Thriller Drama Adventure
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,Comedy Romance,i want you back,Charlie Day Jenny Slate Scott Eastwood Jason Orley Comedy Romance
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Comedy Romance Drama,tall girl 2,Ava Michelle Griffin Gluck Sabrina Carpenter Emily Ting Comedy Romance Drama
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,Drama Romance Music,the sky is everywhere,Grace Kaufman Pico Alexander Jacques Colimon Josephine Decker Drama Romance Music
Arie Posin,Joey King,Kyle Allen,unknown,Romance Science Fiction Drama,the in between,Joey King Kyle Allen unknown Arie Posin Romance Science Fiction Drama
Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,Action Fantasy,fistful of vengeance,Iko Uwais Lewis Tan Lawrence Kao Roel Reiné Action Fantasy
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,Action Adventure,uncharted,Tom Holland Mark Wahlberg Sophia Ali Ruben Fleischer Action Adventure
Channing Tatum,Channing Tatum,Jane Adams,Kevin Nash,Drama Comedy,dog,Channing Tatum Jane Adams Kevin Nash Channing Tatum Drama Comedy
David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Horror Thriller,texas chainsaw massacre,Sarah Yarkin Elsie Fisher Mark Burham David Blue Garcia Horror Thriller
Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,Horror Drama Thriller,the cursed,Boyd Holbrook Kelly Reilly Alistair Petrie Sean Ellis Horror Drama Thriller
Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,Fantasy Adventure Family,a fairy tale after all,Emily Shenaut Brian Hull Gabriel Burrafato Erik Peter Carlson Fantasy Adventure Family
Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Drama Romance,cyrano,Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Drama Romance
B. J. McDonnell,Dave Grohl,Nate Mendel,Pat Smear,Horror Comedy Music,studio 666,Dave Grohl Nate Mendel Pat Smear B. J. McDonnell Horror Comedy Music
Tyler Perry,Tyler Perry,Cassi Davis,David Mann,Comedy Drama,a madea homecoming,Tyler Perry Cassi Davis David Mann Tyler Perry Comedy Drama
Damien Power,Havana Rose Liu,Danny Ramirez,David Rysdahl,Thriller Mystery,no exit,Havana Rose Liu Danny Ramirez David Rysdahl Damien Power Thriller Mystery
Martha Coolidge,Adelaide Clemens,Leo Suter,Stephen Dorff,Drama War Music Romance,i'll find you,Adelaide Clemens Leo Suter Stephen Dorff Martha Coolidge Drama War Music Romance
Edward John Drake,Devon Sawa,Bruce Willis,Luke Wilson,Action Thriller Crime Mystery,gasoline alley,Devon Sawa Bruce Willis Luke Wilson Edward John Drake Action Thriller Crime Mystery
Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,Crime Mystery Thriller,the batman,Robert Pattinson Zoë Kravitz Paul Dano Matt Reeves Crime Mystery Thriller
Kogonada,Colin Farrell,Jodie Turner-Smith,Justin H. Min,Science Fiction Drama,after yang,Colin Farrell Jodie Turner-Smith Justin H. Min Kogonada Science Fiction Drama
Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,Horror Thriller,fresh,Daisy Edgar-Jones Sebastian Stan Jonica T. Gibbs Mimi Cave Horror Thriller
Wes Miller,Kevin Dillon,Bruce Willis,Gianni Capaldi,Action Thriller Crime Drama,a day to die,Kevin Dillon Bruce Willis Gianni Capaldi Wes Miller Action Thriller Crime Drama
Jon McDonald,Cary Elwes,Penelope Mitchell,Elaine Tan,Action Science Fiction Comedy,the hyperions,Cary Elwes Penelope Mitchell Elaine Tan Jon McDonald Action Science Fiction Comedy
Shawn Levy,Ryan Reynolds,Walker Scobell,Mark Ruffalo,Adventure Science Fiction,the adam project,Ryan Reynolds Walker Scobell Mark Ruffalo Shawn Levy Adventure Science Fiction
Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse,Animation Family Comedy Fantasy,turning red,Rosalie Chiang Sandra Oh Ava Morse Domee Shi Animation Family Comedy Fantasy
Kim Bass,Rory Cochrane,Amy Smart,Major Dodson,Drama,tyson's run,Rory Cochrane Amy Smart Major Dodson Kim Bass Drama
Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander,Family Drama,rescued by ruby,Grant Gustin Scott Wolf Kaylah Zander Katt Shea Family Drama
Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn,Crime Drama Thriller Mystery,the outfit,Mark Rylance Zoey Deutch Johnny Flynn Graham Moore Crime Drama Thriller Mystery
Adrian Lyne,Ben Affleck,Ana de Armas,unknown,Drama Mystery Thriller,deep water,Ben Affleck Ana de Armas unknown Adrian Lyne Drama Mystery Thriller
Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Family Comedy,cheaper by the dozen,Gabrielle Union Zach Braff Erika Christensen Gail Lerner Family Comedy
Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Thriller Crime Drama,windfall,Lily Collins Jesse Plemons Jason Segel Charlie McDowell Thriller Crime Drama
Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Horror Thriller Mystery,x,Mia Goth Jenna Ortega Martin Henderson Ti West Horror Thriller Mystery
Iris K. Shim,Sandra Oh,Fivel Stewart,Dermot Mulroney,Horror Mystery Drama,umma,Sandra Oh Fivel Stewart Dermot Mulroney Iris K. Shim Horror Mystery Drama
Krystin Ver Linden,Keke Palmer,Jonny Lee Miller,Common,Fantasy Drama Romance Comedy,alice,Keke Palmer Jonny Lee Miller Common Krystin Ver Linden Fantasy Drama Romance Comedy
Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Horror Thriller Drama Mystery,master,Regina Hall Zoe Renee Amber Gray Mariama Diallo Horror Thriller Drama Mystery
Peyfa,Peyfa (director); Melissa Leo,Bella Thorne,Jake Weary,Thriller Drama,measure of revenge,Peyfa (director); Melissa Leo Bella Thorne Jake Weary Peyfa Thriller Drama
"Aaron and Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt",Sandra Bullock,Channing Tatum,Daniel Radcliffe,Action Adventure Comedy,the lost city,"Sandra Bullock Channing Tatum Daniel Radcliffe Aaron and Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt Action Adventure Comedy"
"Daniels (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis",Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Action Adventure Science Fiction,everything everywhere all at once,"Michelle Yeoh Stephanie Hsu Ke Huy Quan Daniels (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis Action Adventure Science Fiction"
"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Denis O'Hare,Thriller Adventure Drama Mystery,infinite storm,"Naomi Watts Billy Howle Denis O'Hare Małgorzata Szumowska, Michał Englert Thriller Adventure Drama Mystery"
Roshan Sethi,Karan Soni,Geraldine Viswanathan,unknown,Comedy,7 days,Karan Soni Geraldine Viswanathan unknown Roshan Sethi Comedy
Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding,Comedy Romance Science Fiction,moonshot,Cole Sprouse Lana Condor Mason Gooding Chris Winterbauer Comedy Romance Science Fiction
Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,Action Science Fiction Fantasy,morbius,Jared Leto Matt Smith Adria Arjona Daniel Espinosa Action Science Fiction Fantasy
Judd Apatow,Karen Gillan,Iris Apatow,Vir Das,Comedy,the bubble,Karen Gillan Iris Apatow Vir Das Judd Apatow Comedy
Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Action Adventure Thriller,the contractor,Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Action Adventure Thriller
Tim Federle,Aria Brooks,Joshua Bassett,Michelle Federer,Music Family Comedy,better nate than ever,Aria Brooks Joshua Bassett Michelle Federer Tim Federle Music Family Comedy
Richard Linklater,Glen Powell,Zachary Levi,Jack Black,,apollo 10 1⁄2: a space age childhood,
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Adventure Family Comedy,sonic the hedgehog 2,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Adventure Family Comedy
Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Thriller Action Crime,ambulance,Jake Gyllenhaal Yahya Abdul-Mateen II Eiza González Michael Bay Thriller Action Crime
Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne,Thriller Action,all the old knives,Chris Pine Thandiwe Newton Laurence Fishburne Janus Metz Pedersen Thriller Action
Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith,Comedy Drama Music,metal lords,Jaeden Martell Isis Hainsworth Adrian Greensmith Peter Sollett Comedy Drama Music
Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,Drama,father stu,Mark Wahlberg Mel Gibson Jacki Weaver Rosalind Ross Drama
David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Fantasy Adventure,fantastic beasts: the secrets of dumbledore,Eddie Redmayne Jude Law Ezra Miller David Yates Fantasy Adventure
Riley Stearns,Karen Gillan,Beulah Koale,Theo James,Science Fiction Comedy Drama,dual,Karen Gillan Beulah Koale Theo James Riley Stearns Science Fiction Comedy Drama
Nick Lyon,Jamie Bamber,Keesha Sharp,AnnaLynne McCord,Mystery Thriller Horror,titanic 666,Jamie Bamber Keesha Sharp AnnaLynne McCord Nick Lyon Mystery Thriller Horror
Pierre Perifel,Sam Rockwell,Marc Maron,Awkwafina,Family Animation Adventure Comedy Crime,the bad guys,Sam Rockwell Marc Maron Awkwafina Pierre Perifel Family Animation Adventure Comedy Crime
Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang,Action Adventure Fantasy,the northman,Alexander Skarsgård Nicole Kidman Claes Bang Robert Eggers Action Adventure Fantasy
Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan,Action Comedy Crime,the unbearable weight of massive talent,Nicolas Cage Pedro Pascal Sharon Horgan Tom Gormican Action Comedy Crime
"Alastair Fothergill, Jeff Wilson",Alastair Fothergill,Jeff Wilson (directors); Catherine Keener (narrator),unknown,Documentary,polar bear,"Alastair Fothergill Jeff Wilson (directors); Catherine Keener (narrator) unknown Alastair Fothergill, Jeff Wilson Documentary"
Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen,History Action Drama,the survivor,Ben Foster Vicky Krieps Billy Magnussen Barry Levinson History Action Drama
Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci,Action Thriller Crime,memory,Liam Neeson Guy Pearce Monica Bellucci Martin Campbell Action Thriller Crime
Sammi Cohen,Rowan Blanchard,Auliʻi Cravalho,Isabella Ferreira,Comedy Romance,crush,Rowan Blanchard Auliʻi Cravalho Isabella Ferreira Sammi Cohen Comedy Romance
Josh Sternfeld,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress: sniper's eye,Jesse Metcalfe Bruce Willis Chad Michael Murray Josh Sternfeld Action Thriller Crime
Sean O'Reilly,Bruce Willis,Michael Rooker,unknown,Science Fiction Action Thriller Adventure,corrective measures,Bruce Willis Michael Rooker unknown Sean O'Reilly Science Fiction Action Thriller Adventure
Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Fantasy Action Adventure,doctor strange in the multiverse of madness,Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Sam Raimi Fantasy Action Adventure
Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,Romance Drama,along for the ride,Emma Pasarow Belmont Cameli Kate Bosworth Sofia Alvarez Romance Drama
Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner,Family Comedy,marmaduke,Pete Davidson J. K. Simmons David Koechner Mark A.Z. Dippé Family Comedy
Emerson Moore,Jordan Claire Robbins,Theo Rossi,Tahirah Sharif,Thriller Horror,escape the field,Jordan Claire Robbins Theo Rossi Tahirah Sharif Emerson Moore Thriller Horror
John Madden,Colin Firth,Matthew Macfadyen,Kelly Macdonald,War History Drama,operation mincemeat,Colin Firth Matthew Macfadyen Kelly Macdonald John Madden War History Drama
Alex Hardcastle,Rebel Wilson,Mary Holland,Sam Richardson,Comedy,senior year,Rebel Wilson Mary Holland Sam Richardson Alex Hardcastle Comedy
Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Science Fiction Thriller Horror,firestarter,Zac Efron Ryan Kiera Armstrong Sydney Lemmon Keith Thomas Science Fiction Thriller Horror
Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,Devyn Nekoda,Music Comedy Family,sneakerella,Chosen Jacobs Lexi Underwood Devyn Nekoda Elizabeth Allen Rosenbaum Music Comedy Family
Jerrod Carmichael,Jerrod Carmichael,Christopher Abbott,Tiffany Haddish,Comedy Drama,on the count of three,Jerrod Carmichael Christopher Abbott Tiffany Haddish Jerrod Carmichael Comedy Drama
Chadd Harbold,Ashley Benson,Shiloh Fernandez,unknown,Drama Thriller,private property,Ashley Benson Shiloh Fernandez unknown Chadd Harbold Drama Thriller
Brian Cates,Eddie James,Tommy Woodard,Leigh-Allyn Baker,Comedy Family Fantasy,family camp,Eddie James Tommy Woodard Leigh-Allyn Baker Brian Cates Comedy Family Fantasy
"Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague, Gilbert Owuor, Kimberly Norris Guerrero, Eugene Brave Rock, Asivak Koostachin",Haley Lu Richardson,Owen Teague,Gilbert Owuor,Drama Western,montana story,"Haley Lu Richardson Owen Teague Gilbert Owuor Scott McGehee, David Siegel (directors/screenplay); Haley Lu Richardson, Owen Teague, Gilbert Owuor, Kimberly Norris Guerrero, Eugene Brave Rock, Asivak Koostachin Drama Western"
Jared Cohn,Clive Standen,Theo Rossi,Mike Tyson,Action Crime,vendetta,Clive Standen Theo Rossi Mike Tyson Jared Cohn Action Crime
Simon Curtis,Hugh Bonneville,Jim Carter,Michelle Dockery,Drama Romance History Mystery,downton abbey: a new era,Hugh Bonneville Jim Carter Michelle Dockery Simon Curtis Drama Romance History Mystery
Akiva Schaffer,John Mulaney,Andy Samberg,KiKi Layne,Animation Family Comedy Adventure Mystery,chip 'n dale: rescue rangers,John Mulaney Andy Samberg KiKi Layne Akiva Schaffer Animation Family Comedy Adventure Mystery
"Machine Gun Kelly, Mod Sun (directors/screenplay); Machine Gun Kelly, Mod Sun. GaTa, Zach Villa, Jenna Boyd, Becky G, Megan Fox, Dove Cameron",Machine Gun Kelly,Mod Sun. GaTa,Zach Villa,Comedy Romance,good mourning,"Machine Gun Kelly Mod Sun. GaTa Zach Villa Machine Gun Kelly, Mod Sun (directors/screenplay); Machine Gun Kelly, Mod Sun. GaTa, Zach Villa, Jenna Boyd, Becky G, Megan Fox, Dove Cameron Comedy Romance"
Richard Wong,Eugenio Derbez,Samara Weaving,unknown,Comedy Romance,the valet,Eugenio Derbez Samara Weaving unknown Richard Wong Comedy Romance
Carey Williams,RJ Cyler,Donald Elise Watkins,Sebastian Chacon,Comedy Drama Thriller,emergency,RJ Cyler Donald Elise Watkins Sebastian Chacon Carey Williams Comedy Drama Thriller
Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly,Action Drama,top gun: maverick,Tom Cruise Miles Teller Jennifer Connelly Joseph Kosinski Action Drama
Loren Bouchard (director/screenplay); Bernard Derriman,H. Jon Benjamin,Dan Mintz,Eugene Mirman,Animation Adventure Comedy,the bob's burgers movie,H. Jon Benjamin Dan Mintz Eugene Mirman Loren Bouchard (director/screenplay); Bernard Derriman Animation Adventure Comedy
Rick Dugdale,Anthony Hopkins,Chris Brochu,Aleks Paunovic,Science Fiction Thriller Drama,zero contact,Anthony Hopkins Chris Brochu Aleks Paunovic Rick Dugdale Science Fiction Thriller Drama
Jonas Carpignano,Swamy Rotolo,Claudio Rotolo,Grecia Rotolo,Drama,a chiara,Swamy Rotolo Claudio Rotolo Grecia Rotolo Jonas Carpignano Drama
Trey Parker,Trey Parker,Matt Stone,April Stewart,Animation Comedy TV Movie,south park the streaming wars,Trey Parker Matt Stone April Stewart Trey Parker Animation Comedy TV Movie
Julia Hart,Grace VanderWaal,Elijah Richardson,Tyrel Jackson Williams,Comedy Romance Music,hollywood stargirl,Grace VanderWaal Elijah Richardson Tyrel Jackson Williams Julia Hart Comedy Romance Music
Terence Davies,Jack Lowden,Peter Capaldi,Simon Russell Beale,Drama History War,benediction,Jack Lowden Peter Capaldi Simon Russell Beale Terence Davies Drama History War
Matthew Reilly,Elsa Pataky,Luke Bracey,unknown,Action Thriller Adventure,interceptor,Elsa Pataky Luke Bracey unknown Matthew Reilly Action Thriller Adventure
Andrew Ahn,Joel Kim Booster,Bowen Yang,Conrad Ricamora,Comedy Romance,fire island,Joel Kim Booster Bowen Yang Conrad Ricamora Andrew Ahn Comedy Romance
Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman,Horror Mystery Thriller,watcher,Maika Monroe Karl Glusman Burn Gorman Chloe Okuno Horror Mystery Thriller
Rob Savage,Annie Hardy,Amer Chadha-Patel,Angela Enahoro,Horror Thriller,dashcam,Annie Hardy Amer Chadha-Patel Angela Enahoro Rob Savage Horror Thriller
Jesse V. Johnson,Michael Rooker,Bruce Willis,Olga Kurylenko,Action Crime Thriller,white elephant,Michael Rooker Bruce Willis Olga Kurylenko Jesse V. Johnson Action Crime Thriller
Jeremiah Zagar,Adam Sandler,Queen Latifah,Juancho Hernangómez,Drama Comedy,hustle,Adam Sandler Queen Latifah Juancho Hernangómez Jeremiah Zagar Drama Comedy
Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Adventure Action Science Fiction,jurassic world dominion,Chris Pratt Bryce Dallas Howard Laura Dern Colin Trevorrow Adventure Action Science Fiction
Amanda Micheli,Amanda Micheli (director); Jennifer Lopez,unknown,unknown,Documentary Music,jennifer lopez: halftime,Amanda Micheli (director); Jennifer Lopez unknown unknown Amanda Micheli Documentary Music
Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona,Romance Comedy Drama,father of the bride,Andy García Gloria Estefan Adria Arjona Gaz Alazraki Romance Comedy Drama
Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,Animation Science Fiction Family Adventure,lightyear,Chris Evans Keke Palmer Peter Sohn Angus MacLane Animation Science Fiction Family Adventure
Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett,Science Fiction Thriller,spiderhead,Chris Hemsworth Miles Teller Jurnee Smollett Joseph Kosinski Science Fiction Thriller
David Frankel,Bryan Cranston,Annette Bening,unknown,Comedy Drama,jerry & marge go large,Bryan Cranston Annette Bening unknown David Frankel Comedy Drama
Cooper Raiff,Dakota Johnson,Cooper Raiff,Raúl Castillo,Comedy Drama Romance,cha cha real smooth,Dakota Johnson Cooper Raiff Raúl Castillo Cooper Raiff Comedy Drama Romance
Sonja O'Hara,Stephen Lang,Shane West,Bruce Dern,Horror Thriller Drama Mystery,mid-century,Stephen Lang Shane West Bruce Dern Sonja O'Hara Horror Thriller Drama Mystery
Spencer Squire,Emma Roberts,John Gallagher Jr.,Michael Shannon,Horror Mystery Thriller Crime Drama,abandoned,Emma Roberts John Gallagher Jr. Michael Shannon Spencer Squire Horror Mystery Thriller Crime Drama
"John Rice, Albert Calleros",Mike Judge,Gary Cole,Nat Faxon,Animation Comedy Science Fiction,beavis and butt-head do the universe,"Mike Judge Gary Cole Nat Faxon John Rice, Albert Calleros Animation Comedy Science Fiction"
Baz Luhrmann,Austin Butler,Tom Hanks,Olivia DeJonge,Drama Music History,elvis,Austin Butler Tom Hanks Olivia DeJonge Baz Luhrmann Drama Music History
Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Horror Thriller,the black phone,Ethan Hawke Mason Thames Madeleine McGraw Scott Derrickson Horror Thriller
Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Action Adventure Comedy,the man from toronto,Kevin Hart Woody Harrelson Kaley Cuoco Patrick Hughes Action Adventure Comedy
Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris,Animation Adventure Family Fantasy,the sea beast,Karl Urban Zaris-Angel Hator Jared Harris Chris Williams Animation Adventure Family Fantasy
Dean Fleischer Camp,Jenny Slate,Rosa Salazar,Thomas Mann,Animation Comedy Drama Family Fantasy,marcel the shell with shoes on,Jenny Slate Rosa Salazar Thomas Mann Dean Fleischer Camp Animation Comedy Drama Family Fantasy
Akin Omotoso,Uche Agada,Ral Agada,Jaden Osimuwa,Drama,rise,Uche Agada Ral Agada Jaden Osimuwa Akin Omotoso Drama
Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano,Music Romance Science Fiction,press play,Clara Rugaard Lewis Pullman Lyrica Okano Greg Björkman Music Romance Science Fiction
Andrew Dosunmu,Gracie Marie Bradley,Niecy Nash,Aleyse Shannon,Romance Drama Music,beauty,Gracie Marie Bradley Niecy Nash Aleyse Shannon Andrew Dosunmu Romance Drama Music
Kyle Balda,Steve Carell,Pierre Coffin,Taraji P. Henson,Animation Comedy Family Adventure Crime Science Fiction,minions: the rise of gru,Steve Carell Pierre Coffin Taraji P. Henson Kyle Balda Animation Comedy Family Adventure Crime Science Fiction
John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Matt Smith,Drama,the forgiven,Ralph Fiennes Jessica Chastain Matt Smith John Michael McDonagh Drama
Emma Holly Jones,Freida Pinto,Sope Dirisu,Oliver Jackson-Cohen,Romance Comedy Drama,mr. malcolm's list,Freida Pinto Sope Dirisu Oliver Jackson-Cohen Emma Holly Jones Romance Comedy Drama
Le-Van Kiet,Joey King,Dominic Cooper,Olga Kurylenko,Action Fantasy,the princess,Joey King Dominic Cooper Olga Kurylenko Le-Van Kiet Action Fantasy
James Cullen Bressack,Kevin Dillon,Mel Gibson,unknown,Thriller,hot seat,Kevin Dillon Mel Gibson unknown James Cullen Bressack Thriller
